component_1,component_2,cluster_id
0.3194757,-0.07769056,0
0.25377277,-0.1195111,4
0.27994204,-0.17364104,1
0.45610055,-0.06277069,1
0.45908225,-0.12843475,1
0.2873358,-0.014704612,1
0.3168391,-0.09805956,0
0.29148042,-0.16375574,5
0.40217334,-0.04585674,0
0.27150717,-0.11564798,0
0.2817003,-0.17243376,1
0.2624996,-0.096604764,5
0.33622748,-0.05859275,5
0.17348397,0.12121399,4
0.21057738,-0.093450986,4
0.38317388,-0.18482858,0
0.24887626,0.14407292,4
0.3210364,-0.06596098,1
0.2786954,-0.069142066,1
0.3736669,-0.19104429,0
0.2481735,-0.066065304,1
0.34857875,-0.14969783,0
0.3556635,-0.1424652,5
0.5336356,-0.28061694,1
0.4511126,-0.120905235,5
0.2984242,-0.084827214,1
0.29466483,-0.09108105,0
0.22220097,-0.031440414,4
0.11250253,-0.020325169,4
0.41099867,-0.17915535,5
0.2161129,-0.08614099,4
0.3866564,-0.19844872,1
0.41059807,-0.040342048,4
0.3135981,-0.13794865,0
0.14966434,-0.06286435,0
0.32562366,-0.21580815,1
0.22054788,0.022927811,4
0.3139992,-0.09852168,4
0.38440412,-0.23602858,1
0.38183266,-0.04571652,1
0.39705262,-0.09437634,1
0.17168874,-0.05828584,4
0.3134922,-0.019518027,1
0.36633894,-0.008780326,1
0.3618876,-0.19411337,5
0.27638465,-0.08849031,0
0.3366055,-0.09157109,1
0.36806625,-0.17461246,5
0.27092168,-0.11938557,1
0.31407169,-0.1818406,0
0.22136642,0.0030647872,4
0.37133694,-0.22149247,1
0.45878652,-0.12703024,5
0.2955723,0.29964826,2
0.13634236,-0.083061144,4
0.30614498,-0.094341144,5
0.27208635,-0.03558113,0
0.30343038,0.041017234,0
0.238746,-0.13588426,1
0.26169828,-0.03636606,4
0.33701637,-0.14839208,1
0.34731126,-0.18328403,1
0.32040337,-0.2139296,1
0.34612468,0.0017915296,5
0.19779098,0.028799562,0
0.2051384,-0.027604058,4
0.38937965,-0.24922265,1
0.3177118,-0.08430282,1
0.20102033,-0.047199212,4
0.4353479,-0.30454147,1
0.31570366,-0.18484013,1
0.37558624,-0.20713851,1
0.4729256,-0.24676304,1
0.27617735,-0.0782787,1
0.3658427,-0.16262929,1
0.212708,-0.029343804,0
0.3021794,-0.10880812,5
0.25125712,-0.041829426,0
0.2943029,-0.14636828,1
0.3348435,0.040313873,4
0.3927407,-0.0065643485,1
0.37410307,-0.18083419,0
0.31399077,0.02225716,4
0.3995669,-0.021207154,1
0.19403788,-0.09386874,0
0.44726485,-0.14140396,5
0.2013551,0.18302207,4
0.34338534,-0.09602088,0
0.4844995,-0.1141123,5
0.5009524,0.05330574,1
0.2112704,-0.14913975,1
0.35192272,-0.20115119,5
0.45307115,-0.1622479,1
0.47933668,-0.3135593,1
0.30822504,0.19503988,4
0.4154852,0.3433293,4
0.21753103,0.004548579,1
0.29059467,-0.055452492,4
0.25136876,-0.1073326,0
0.31009462,-0.028282594,4
0.24267773,-0.10146272,1
0.28785723,-0.13367069,4
0.2684358,-0.03577542,4
0.2477749,-0.11742712,0
0.15856646,-0.114512,4
0.20520066,-0.018068446,4
0.28495014,-0.17822346,1
0.43377152,-0.2141181,5
0.38170534,-0.19363992,1
0.26560637,0.08557986,4
0.24909668,0.09447407,4
0.3590821,-0.10401269,1
0.2337308,-0.058789793,0
0.37808663,-0.1139499,1
0.30949193,-0.097202614,1
0.49124283,-0.17459376,1
0.345891,-0.05003294,4
0.2829481,0.19458,4
0.16689564,-0.015245584,4
0.3191234,-0.16882566,1
0.29776305,-0.17343445,4
0.35758957,-0.13379349,1
0.31156716,-0.15821539,4
0.19642596,0.07306639,4
0.18345967,-0.07548199,0
0.23700361,-0.1012839,0
0.35198757,0.035344966,4
0.0983806,-0.06265917,4
0.27683818,-0.11876927,1
0.21695784,-0.09720631,4
0.47207516,-0.088164285,1
0.3026545,-0.023695154,0
0.28031072,-0.0232679,4
0.41757938,-0.106942445,1
0.3534395,-0.090565704,0
0.46834895,0.017457621,1
0.23815252,-0.031452697,4
0.37513012,-0.12812284,1
0.37653366,-0.15748248,0
0.34821427,-0.0929738,0
0.20390397,0.14672142,4
0.2808573,0.18168111,4
0.29022515,-0.18138596,1
0.41270232,-0.107107036,1
0.34872773,-0.20053934,0
0.41040558,-0.24391872,1
0.4331191,-0.013720519,5
0.30244565,-0.18591838,1
0.25812986,-0.03134741,4
0.3723937,-0.0059554023,0
0.6081214,-0.1790796,1
0.36434832,-0.05203865,1
0.45911455,0.21685849,4
0.31315982,-0.08621835,4
0.3049568,0.049995806,4
0.38024312,0.27334672,0
0.3897822,-0.15317671,0
0.43644792,-0.17997351,5
0.49651164,-0.12335143,1
0.14455068,-0.008096008,4
0.22388777,0.01015494,0
0.28710914,-0.089388415,0
0.33501264,-0.18491659,5
0.20761871,-0.09766179,4
0.3733139,-0.23578861,5
0.327174,0.13870282,4
0.29421625,-0.07938258,1
0.41676876,-0.23692293,1
0.46493682,0.0576299,0
0.21545662,-0.12985025,1
0.34532678,-0.012903152,5
0.29696512,-0.06745917,1
0.2934733,-0.14858893,4
0.28712147,-0.008950784,1
0.35788465,-0.22137849,5
0.3645068,-0.060249943,4
0.24918316,-0.00051800924,4
0.27349186,0.021269092,1
0.3655762,0.07932495,4
0.25969818,-0.10739097,4
0.33702835,-0.0943865,1
0.15491146,-0.055215452,4
0.48624942,0.14879468,1
0.35947475,-0.058797475,1
0.13787284,-0.034432113,0
0.39157206,-0.14374413,1
0.21989492,-0.17630027,1
0.28889623,-0.19168037,1
0.18190356,-0.12568817,5
0.4248388,0.07335897,4
0.5353626,-0.04037293,1
0.44792378,-0.13972928,1
0.32087588,-0.10124579,1
0.25412363,-0.051319472,1
0.36195257,0.088968806,1
0.16302493,-0.08326513,3
0.18706527,-0.066201374,1
0.34930348,-0.23367763,5
0.18331394,-0.008494446,4
0.41890356,0.03605358,1
0.21755557,-0.14038305,4
0.36144185,-0.23643652,0
0.40869248,-0.14460976,4
0.2265335,-0.039515525,4
0.33994284,-0.21317229,5
0.29443094,-0.123417266,1
0.38474226,-0.10114687,1
0.3718351,-0.24903867,1
0.34959343,0.047345046,1
0.38573936,0.13460045,1
0.17799346,-0.021729322,3
0.24204284,-0.029894294,0
0.25901788,-0.08274096,4
0.27948162,-0.124618754,1
0.18763006,-0.040643886,4
0.24011797,-0.1282293,5
0.31359804,-0.11169937,0
0.41774145,-0.090879284,1
0.27522343,-0.088182025,4
0.46325698,-0.25385985,1
0.3059599,-0.018996429,4
0.39739227,-0.0028968658,1
0.26328284,-0.065161414,1
0.4128476,-0.2495673,1
0.39585707,-0.074741416,1
0.2999673,0.27932963,2
0.30138975,0.16181742,4
0.31322002,-0.076203816,1
0.2991971,-0.018737791,5
0.34890902,-0.16737649,5
0.33203474,-0.14780203,4
0.3443804,-0.21909629,1
0.33926693,0.05949076,4
0.31975177,-0.13564855,0
0.4524694,-0.22124149,1
0.29139984,0.004315376,1
0.32561022,-0.22155482,1
0.3566892,-0.20642501,1
0.47057006,-0.082383305,5
0.2761297,-0.046457283,5
0.32510734,-0.19056155,1
0.16712998,-0.03830549,4
0.27737415,-0.03591675,4
0.35676557,-0.2117457,0
0.36131087,0.08445172,1
0.29691407,-0.075560525,1
0.2615984,-0.11364965,0
0.17657727,0.014900516,0
0.28674877,-0.071494095,4
0.41819957,0.15400329,1
0.18192987,0.12913169,4
0.26213196,0.2142017,4
0.22700116,-0.053466767,0
0.2965812,-0.12873136,1
0.23544136,0.03243256,4
0.3413738,0.055336352,4
0.44134083,-0.11290437,5
0.2755311,-0.12198598,0
0.55974233,0.17644553,5
0.28558582,0.0390425,0
0.060120173,0.018230416,4
0.2903284,-0.12172418,1
0.51478046,-0.18327685,5
0.38812742,-0.20792407,1
0.4521822,-0.1471939,1
0.43364325,-0.17025878,0
0.46832183,-0.27082303,1
0.4593776,-0.19545552,1
0.29974553,-0.15372576,1
0.27314633,0.07385915,4
0.42992824,-0.2468519,5
0.48626515,-0.20670225,1
0.41150162,-0.2505426,1
0.30787867,0.048659556,1
0.3468261,-0.2237015,1
0.410082,0.034186818,1
0.49016985,-0.11769988,5
0.3807039,-0.15498428,1
0.2328095,-0.071981706,0
0.49557084,-0.29473838,1
0.1718452,-0.05602709,1
0.19420567,0.31753686,2
0.40666345,0.2520651,4
0.30418342,-0.16952004,1
0.29291686,0.03579242,0
0.18014419,-0.07038603,1
0.31077045,0.20307194,4
0.17394774,0.19553381,4
0.14042263,0.047909595,4
0.13736631,-0.01627584,4
0.2670698,-0.1787194,1
0.40288147,-0.22175974,5
0.36848596,-0.11887854,3
0.38684386,-0.18950018,1
0.2619116,-0.097328685,0
0.13940376,-0.07975069,4
0.32999763,0.02959495,4
0.4093999,-0.058757275,4
0.09754521,0.028434174,4
0.43183511,-0.047545247,0
0.4043523,-0.20484415,1
0.2835335,0.08007437,4
0.28783458,-0.15394631,4
0.41301864,-0.09801325,1
0.26427105,-0.10882208,0
0.2504877,0.06474146,4
0.3390765,-0.16871193,1
0.2601679,-0.1568627,4
0.27546987,-0.10287939,0
0.30892524,-0.13979281,0
0.29657945,0.06340347,4
0.37170973,-0.041741148,4
0.3996924,-0.10681039,3
0.21895254,0.027788859,0
0.3092931,-0.15387379,4
0.41442466,-0.12870549,1
0.43798155,-0.14091906,0
0.49937925,-0.16555735,1
0.23666763,-0.050004087,4
0.39254478,0.07231822,5
0.31429863,-0.20794828,1
0.18372834,-0.09975361,4
0.29718164,-0.12541218,1
0.17622133,-0.037697237,4
0.35061407,-0.22495711,5
0.4602563,-0.27423403,5
0.3423533,-0.083056815,1
0.43681514,-0.032921992,1
0.25608927,-0.034732334,0
