cluster_id,rank,term,mean_tfidf
0,1,tablet,0.14821694791316986
0,2,great tablet,0.06636208295822144
0,3,great,0.061850838363170624
0,4,kid,0.036307595670223236
0,5,good,0.03266008198261261
0,6,love,0.030121739953756332
0,7,tablet great,0.0291222482919693
0,8,good tablet,0.02331165224313736
0,9,tablet kid,0.02124246396124363
0,10,game,0.01804335042834282
0,11,love tablet,0.017191188409924507
0,12,old,0.01714475452899933
1,1,easy,0.15049947798252106
1,2,easy use,0.12722307443618774
1,3,use,0.11911222338676453
1,4,great,0.0499105229973793
1,5,set,0.03663063421845436
1,6,love,0.0344013050198555
1,7,easy set,0.03365618363022804
1,8,tablet,0.03175324201583862
1,9,great easy,0.02669989876449108
1,10,love easy,0.024080779403448105
1,11,good,0.019084380939602852
1,12,use great,0.01813233643770218
2,1,great,0.050982631742954254
2,2,good,0.034328240901231766
2,3,work,0.02964436635375023
2,4,love,0.029157865792512894
2,5,tv,0.02510450780391693
2,6,gift,0.021353481337428093
2,7,kid,0.01632046513259411
2,8,device,0.015711886808276176
2,9,work great,0.015221664682030678
2,10,best,0.013984286226332188
2,11,like,0.013525387272238731
2,12,better,0.011778981424868107
3,1,battery,0.1825384795665741
3,2,brand,0.04775582253932953
3,3,good,0.0473015271127224
3,4,long,0.0433923676609993
3,5,great,0.039626818150281906
3,6,great battery,0.039524517953395844
3,7,good battery,0.03261866793036461
3,8,work,0.03166331723332405
3,9,battery work,0.026495449244976044
3,10,battery great,0.026492850854992867
3,11,battery good,0.02074333466589451
3,12,brand battery,0.01970011740922928
4,1,echo,0.08116663992404938
4,2,alexa,0.0717257708311081
4,3,music,0.053659114986658096
4,4,love,0.04119911417365074
4,5,fun,0.03485215827822685
4,6,great,0.033284809440374374
4,7,home,0.03106195107102394
4,8,speaker,0.025182152166962624
4,9,sound,0.02440154366195202
4,10,question,0.022435221821069717
4,11,love echo,0.02133100852370262
4,12,play,0.02130504883825779
5,1,kindle,0.11240619421005249
5,2,book,0.05108698457479477
5,3,read,0.048375170677900314
5,4,reading,0.04585844278335571
5,5,love,0.040391791611909866
5,6,reader,0.03924165293574333
5,7,great,0.03434331342577934
5,8,paperwhite,0.026015836745500565
5,9,light,0.025791199877858162
5,10,love kindle,0.02391795814037323
5,11,screen,0.019661404192447662
5,12,easy,0.01951400376856327
